id;semt_bucak_belde;ilce_id
873;GÜNYÜZÜ;405
874;GÜRÇEŞME;565
875;GÜRGENTEPE;406
876;GÜROYMAK;407
877;GÜRPINAR;144
878;GÜRPINAR;408
879;GÜRPINAR;620
880;GÜRSEL;487
881;GÜRSELPAŞA;806
882;GÜRSU;409
883;GÜRÜN;410
884;GÜZELBAHÇE;411
885;GÜZELKENT;338
886;GÜZELYALI;565
887;GÜZELYURT;412
888;HACIALİBEY;879
889;HACIBAYRAM;714
890;HACIBEKTAŞ;413
891;HACIBEYLİ;574
892;HACIHALİLLER;856
893;HACILAR;298
894;HACILAR;414
895;HACILAR KÖYLER;414
896;HACIRAHMANLI;789
897;HADIMKÖY;74
898;HADIRLI;806
899;HADİM;415
900;HAFİK;416
901;HAKKARİ;645
902;HAL;23
903;HALASKARGAZİ;864
904;HALFETİ;417
905;HALICIOĞLU;146
906;HALİTPAŞA;789
907;HALKALI;596
908;HALKAPINAR;419
909;HALKKENT;890
910;HAMAMÖZÜ;420
911;HAMİDİYE;487
912;HAMİDİYE;651
913;HAMİDİYE;916
914;HAMİTLER;724
915;HAMUR;421
916;HAN;422
917;HANAK;423
918;HANIMINÇİFTLİĞİ;125
919;HANİ;424
920;HANKENDİ;641
921;HARAÇÇI;74
922;HARAPARASI;61
923;HARBİŞ;628
924;HARBİYE;864
925;HARMANCIK;426
926;HARMANDALI;238
927;HARMANLI;374
928;HARPUT;641
929;HARRAN;427
930;HASANAĞA;703
931;HASANBEY;385
932;HASANBEYLİ;428
933;HASANKEYF;429
934;HASANOĞLAN;313
935;HASKÖY;48
936;HASKÖY;430
937;HASKÖY;433
938;HASKÖY;671
939;HASKÖY SUBAYEVLERİ;535
940;HASSA;431
941;HATAY;499
942;HAVRAN;432
943;HAVSA;433
944;HAVUTLU;967
945;HAVZA;434
946;HAYMANA;435
947;HAYRABOLU;436
948;HAYRAT;437
949;HAZRO;438
950;HEKİMHAN;439
951;HELVACI;44
952;HELVADERE;664
953;HEMŞİN;440
954;HENDEK;441
955;HEREKE;580
956;HEYBELİADA;6
957;HINIS;442
958;HİLVAN;443
959;HİSAR;666
960;HİSAR;724
961;HİSARCIK;444
962;HİSARCIK-KIRANARDI;620
963;HİSARÖNÜ(FİLYOS);214
964;HİZAN;445
965;HOCALAR;446
966;HONAZ;447
967;HOPA;448
968;HORASAN;449
969;HOROZLUHAN;796
970;HOŞGÖR;846
971;HOZAT;450
972;HUZUR;708
973;HUZUREVLERİ;246
974;HUZURKENT;23
975;HÜDAVENDİGAR;724
976;HÜKÜMET;682
977;HÜKÜMET;806
978;HÜRRİYET;620
979;HÜRRİYET;724
980;HÜRRİYET;951
981;HÜSEYİNGAZİ;611
