mahalle;semt_bucak_belde_id
ÇAYLI MAH.;1908
ÇINARLI MAH.;1908
ÇİÇEKLİ MAH.;1908
ÇİRİŞGEDİĞİ MAH.;1908
DAĞCI MAH.;1908
DUTLUCA MAH.;1908
EĞECİUŞAĞI MAH.;1908
GÖKBUKET MAH.;1908
GÖZTEPE MAH.;1908
HAKKIBEYLİ MAH.;1908
HASANBEYLİ MAH.;1908
HOCALLI MAH.;1908
KARAÖMERLİ MAH.;1908
KARAYUSUFLU MAH.;1908
KARGAKEKEÇ MAH.;1908
KARLIK MAH.;1908
KARŞIYAKA MAH.;1908
KAŞOBASI MAH.;1908
KEPEZTEPE MAH.;1908
KILBAŞ MAH.;1908
KILIÇLI MAH.;1908
KIZILKAŞ MAH.;1908
KÖSEFAKILI MAH.;1908
KÜÇÜKBAKLALI MAH.;1908
MALTEPE MAH.;1908
MENEKŞE MAH.;1908
MUSTAFALAR MAH.;1908
MÜMİNLİ MAH.;1908
OSMANGAZİ MAH.;1908
SARIÇAM MAH.;1908
TURUNÇLU MAH.;1908
ÜNLÜCE MAH.;1908
YAĞIZLAR MAH.;1908
YARIMCA MAH.;1908
YENİYAYLA MAH.;1908
YÜREKLİ MAH.;1908
BALCALI MAH.;1983
ESENTEPE MAH.;1983
GÜLTEPE MAH.;1983
MEHMET AKİF ERSOY MAH.;1983
ORHANGAZİ MAH.;1983
REMZİ OĞUZ ARIK MAH.;1983
ŞAHİNTEPE MAH.;1983
YAVUZ SULTAN SELİM MAH.;1983
YEŞİLTEPE MAH.;1983
YILDIRIM BEYAZIT MAH.;1983
AKKAPI MAH.;56
DAĞLIOĞLU MAH.;56
AHMET REMZİ YÜREĞİR MAH.;584
DENİZLİ MAH.;584
KURTULUŞ MAH.;584
MİTHATPAŞA MAH.;584
SAKARYA MAH.;584
EMEK MAH.;668
OVA MAH.;668
ŞAKİRPAŞA MAH.;668
UÇAK MAH.;668
AYDINLAR MAH.;754
BARIŞ MAH.;754
FEVZİPAŞA MAH.;754
CEMALPAŞA MAH.;769
REŞATBEY MAH.;769
GÜLBAHÇESİ MAH.;842
2000 EVLER MAH.;881
BAHÇEŞEHİR MAH.;881
GÜRSELPAŞA MAH.;881
YENİ MAH.;881
HADIRLI MAH.;898
ALİDEDE MAH.;976
BEŞOCAK MAH.;976
MESTANZADE MAH.;976
SARIYAKUP MAH.;976
ŞEHİTDURAN MAH.;976
TÜRKOCAĞI MAH.;976
YENİBEY MAH.;976
